,PlayerType,YearsPlayed,WicketKeeper,BattingStyle,BowlingStyle,Team
Sarfaraz Khan,BATTERS,"2021,2020,2019",False,Right hand Bat,Legbreak,PBKS
Aiden Markram,BATTERS,2021,False,Right hand Bat,Right arm Offbreak,PBKS
Nicholas Pooran,BATTERS,"2021,2020,2019",True,Left hand Bat,Right arm Offbreak,PBKS
Fabian Allen,ALLROUNDERS,2021,False,Right hand Bat,Slow Left arm Orthodox,PBKS
Moises Henriques,ALLROUNDERS,"2021,2019",False,Right hand Bat,Right arm Fast medium,PBKS
Deepak Hooda,ALLROUNDERS,"2021,2020",False,Right hand Bat,Right arm Offbreak,PBKS
Jalaj Saxena,ALLROUNDERS,2021,False,Right hand Bat,"Right arm Offbreak, Legbreak Googly",PBKS
Mandeep Singh,ALLROUNDERS,"2021,2020,2019,2014,2013,2012,2011",False,Right hand Bat,Right arm Medium,PBKS
Saurabh Kumar,ALLROUNDERS,2021,False,Left hand Bat,Slow Left arm Orthodox,PBKS
Utkarsh Singh,ALLROUNDERS,2021,False,Left hand Bat,Right arm Offbreak,PBKS
Murugan Ashwin,BOWLERS,"2021,2020,2019",False,Right hand Bat,Legbreak Googly,PBKS
Chris Jordan,BOWLERS,"2021,2020",False,Right hand Bat,Right arm Fast medium,PBKS
Mohammed Shami,BOWLERS,"2021,2020,2019",False,Right hand Bat,Right arm Fast,PBKS
Darshan Nalkande,BOWLERS,"2021,2020,2019",False,Right hand Bat,Right arm Fast medium,PBKS
Adil Rashid,BOWLERS,2021,False,Right hand Bat,Legbreak,PBKS
Ravi Bishnoi,BOWLERS,"2021,2020",False,Right hand Bat,Legbreak Googly,PBKS
Karun Nair,BATTERS,"2020,2019,2018",False,Right hand Bat,Right arm Offbreak,PBKS
CH Gayle headshot,BATTERS,2020,False,Left hand Bat,Right arm Offbreak,PBKS
Krishnappa Gowtham,BATTERS,2020,False,Right hand Bat,Right arm Offbreak,PBKS
James Neesham,BATTERS,2020,False,Left hand Bat,Right arm Medium fast,PBKS
Tajinder Singh,BATTERS,2020,False,Right hand Bat,Right arm Offbreak,PBKS
Sheldon Cottrell,BOWLERS,2020,False,Right hand Bat,Left arm Fast medium,PBKS
Mujeeb Ur Rahman,BOWLERS,"2020,2019,2018",False,Right hand Bat,Right arm Offbreak,PBKS
Jagadeesha Suchith,BOWLERS,2020,False,Left hand Bat,Slow Left arm Orthodox,PBKS
Hardus Viljoen,BOWLERS,"2020,2019",False,Right hand Bat,Right arm Fast,PBKS
David Miller,BATTERS,"2019,2018,2017,2016,2015,2014,2013,2012,2011",False,Left hand Bat,Right arm Offbreak,PBKS
"R Ashwin, player portrait",BATTERS,2019,False,,,PBKS
(c),BATTERS,2019,False,Right hand Bat,Right arm Offbreak,PBKS
Chris Gayle,BATTERS,"2019,2018",False,Left hand Bat,Right arm Offbreak,PBKS
Agnivesh Ayachi,BOWLERS,2019,False,Right hand Bat,Right arm Medium,PBKS
Ankit Rajpoot,BOWLERS,"2019,2018",False,Right hand Bat,Right arm Medium,PBKS
Andrew Tye,BOWLERS,"2019,2018",False,Right hand Bat,Right arm Medium fast,PBKS
Varun Chakravarthy,BOWLERS,2019,False,Right hand Bat,Legbreak Googly,PBKS
Aaron Finch,BATTERS,2018,False,Right hand Bat,Slow Left arm Orthodox,PBKS
Manzoor Dar,BATTERS,2018,False,Right hand Bat,Right arm Offbreak,PBKS
Akshdeep Nath,BATTERS,2018,False,Right hand Bat,Right arm Medium fast,PBKS
Manoj Tiwary,BATTERS,2018,False,Right hand Bat,Legbreak Googly,PBKS
Yuvraj Singh,BATTERS,"2018,2010,2009,2008",False,Left hand Bat,Slow Left arm Orthodox,PBKS
Ravichandran Ashwin,ALLROUNDERS,2018,False,Right hand Bat,Right arm Offbreak,PBKS
Axar Patel,ALLROUNDERS,"2018,2017,2016,2015,2014",False,Left hand Bat,Slow Left arm Orthodox,PBKS
Pardeep Sahu,ALLROUNDERS,"2018,2017,2016",False,Right hand Bat,Legbreak Googly,PBKS
Mayank Dagar,BOWLERS,2018,False,Right hand Bat,Slow Left arm Orthodox,PBKS
Ben Dwarshuis,BOWLERS,2018,False,Left hand Bat,Left arm Fast medium,PBKS
Mohit Sharma,BOWLERS,"2018,2017,2016",False,Right hand Bat,Right arm Medium,PBKS
Barinder Sran,BOWLERS,2018,False,Left hand Bat,Left arm Medium,PBKS
Hashim Amla,BATTERS,"2017,2016",False,Right hand Bat,"Right arm Medium, Right arm Offbreak",PBKS
Armaan Jaffer,BATTERS,"2017,2016",False,Right hand Bat,Right arm Offbreak,PBKS
Martin Guptill,BATTERS,2017,False,Right hand Bat,Right arm Offbreak,PBKS
Gurkeerat Singh Mann,BATTERS,"2017,2016,2015,2014,2013,2012",False,Right hand Bat,Right arm Offbreak,PBKS
Eoin Morgan,BATTERS,2017,False,Left hand Bat,Right arm Medium,PBKS
Nikhil Naik,BATTERS,"2017,2016,2015",True,Right hand Bat,,PBKS
Wriddhiman Saha,BATTERS,"2017,2016,2015,2014",True,Right hand Bat,,PBKS
Rinku Singh,BATTERS,2017,False,Left hand Bat,Right arm Offbreak,PBKS
Manan Vohra,BATTERS,"2017,2016,2015,2014,2013",False,Right hand Bat,Right arm Medium,PBKS
Daren Sammy,ALLROUNDERS,2017,False,Right hand Bat,Right arm Medium,PBKS
